word,hint
apple,red fruit
baby,wah wah!
ball,round toy
bear,furry brown animal
bed,nighty night
bell,ding dong
bird,tweet tweet
birthday,once a year
boat,on the water
bread,baked
cake,frosting
car,four wheels
cat,nine lives
chair,four legs
chicken,cluck cluck
children,young people
Christmas,jingle bells
coat,clothing
corn,yellow vegetable
cow,mooooo
dog,rooff rooff
duck,quack quack
egg,chicken
eye,see
farm,animals live here
father,parent
feet,body part
fire,hot
fish,sea
flower,blossoms
game,play
garden,plants
grass,lawn
hand,body part
head,body part
hill,slope
horse,gallop
house,building
kitty,meow
